"PlayerID","Name","Season_future","Start_IP_future","ERA_Minus_future","Age","Start_IP_past1","xFIP_Minus_past1","SIERA_past1","K_Rate_Plus_past1","K_BB_Rate_past1","botStf_past1","Stuff_Plus_past1","Pitching_Plus_past1"
"16511_656756","Jordan Montgomery",2022,177.11999931,90.48453226,29,157.03000183,91.74213401,4.065868024,106.331845,0.1679,53.40571641,96.65688109,99.45095517
"27552_668933","Graham Ashcraft",2022,105,114.8135604,24,0,NA,NA,NA,NA,NA,NA,NA
"15047_608723","Austin Voth",2022,76.029999541,80.79311314,30,0,NA,NA,NA,NA,NA,NA,NA
"18413_664353","José Urquidy",2022,162.03000183,100.8160195,27,107,102.3360976,4.272728128,92.31067703,0.1678,47.14694626,101.2090184,106.7701227
"19361_669203","Corbin Burnes",2022,202,72.53334687,27,167,53.71539286,2.610739105,152.7861484,0.3044,66.28960525,133.1212273,112.0116943
"18525_656302","Dylan Cease",2022,184,56.14579231,26,165.05999907,86.98730353,3.566488091,138.4920921,0.2232,64.45862173,118.6983373,105.5952155
"13273_548389","Ross Stripling",2022,123.02999955,76.2365914,32,86.029999541,105.7543268,4.320055555,99.03330238,0.1576,30.25610859,87.15505155,96.16797251
"27681_686610","Ken Waldichuk",2022,34.060000228,133.1383796,24,0,NA,NA,NA,NA,NA,NA,NA
"25377_663903","Brady Singer",2022,147.05999907,76.90470897,25,128.03000183,95.96328373,4.297565854,96.98922176,0.1331,49.37013934,97.47880911,98.54264448
"20000_669330","Tyler Wells",2022,103.05999907,112.116768,27,0,NA,NA,NA,NA,NA,NA,NA
"14663_592346","Chi Chi González",2022,19.059999943,151.4000893,30,87,120.1379081,5.308003209,53.6220618,0.0651,42.28272547,86.65562771,95.60339105
"13431_573186","Marcus Stroman",2022,138.05999907,87.51053952,31,179,83.89457149,3.954133079,92.8469672,0.1562,49.82573392,101.7961919,102.2634566
"21844_666129","Braxton Garrett",2022,88,88.09478985,24,31,110.9154579,5.217368347,88.14585498,0.0753,42.11230145,85.08405797,90.66141304
